artist_name,track_name,release_date,genre,lyrics
BTS,Dynamite,2020,k-pop,shine bright like diamond sky night city lights feel electric tonight something pulling heart know good time dance floor break rules light night groove feeling good alright energy emotions high dancing through night feeling alive shining bright like dynamite light spark ignite energize mind body soul dancing forever control shine through dark dynamite boom light night sky bright forever higher soaring skies free alive tonight dance floor light energy flowing through veins memories create tonight stay forever rhythm heart beat faster louder stronger together forever dynamite
BLACKPINK,How You Like That,2020,k-pop,look straight ahead eyes focused determination bring storm weather chaotic energy rising phoenix ashes stronger fiercer look now standing tall reaching peak mountain climb higher touch stars look down path traveled strength gained obstacles overcome look ahead future bright shining look how far come look strength gained nothing stopping now watch rise higher faster stronger than ever before fall seven times stand eight nothing holding back anymore breaking free chains breaking walls breaking limits breaking expectations watch soar watch shine watch glow watch grow look now unstoppable
TWICE,Feel Special,2019,k-pop,feeling lost alone darkness surrounding heart heavy mind clouded thoughts scattered negative energy draining soul darkness surrounds doubt consumes fears grow stronger shine light darkness suddenly appear smile brings warmth heart feel special moment touch hand hold tight fears fade away strength grows confidence builds mountains move oceans part feel special precious treasured valued loved feel unique feel important feel worthy feel special world seems brighter colors vibrant sounds clearer mind focused heart full gratitude feeling special feeling loved feeling treasured feeling worthy feeling unique feeling important feeling valued feeling cherished feeling understood feeling supported feeling appreciated feeling extraordinary feeling exceptional feeling rare feeling incredible feeling amazing
EXO,Love Shot,2018,k-pop,eyes locked across room hearts beat synchronicity magnetic pull impossible resist chemistry electric sparks flying tension building moment perfect connection deeper than words express feelings intense overwhelming powerful captivating entrancing mesmerizing addictive irresistible undeniable inevitable destiny written stars universe conspired bring together souls intertwined hearts aligned minds connected spirits united love shot pierced heart direct hit cupid arrow struck bullseye emotions overflow containment impossible express adequately words fail capture essence feeling pure raw authentic genuine passionate fierce tender gentle simultaneously contradictory complementary perfect balance harmony universe makes sense world right place right time right person right feeling right moment right energy right connection right chemistry right love right shot
SEVENTEEN,Left & Right,2020,k-pop,moving forward never looking back progress constant evolution growth development improvement advancement enhancement upgrading leveling ascending rising climbing soaring flying breaking limits shattering expectations surpassing goals exceeding targets overcoming obstacles conquering challenges defeating doubts vanquishing fears eliminating negativity embracing positivity absorbing energy projecting light radiating warmth emitting joy broadcasting happiness transmitting good vibes sending positive waves creating ripple effects influencing surroundings affecting environment changing atmosphere transforming mood shifting paradigms altering perceptions modifying viewpoints adjusting attitudes revising opinions updating beliefs upgrading thoughts enhancing mindsets improving outlooks bettering perspectives left right forward never backward always progressing never regressing always advancing never retreating
RED VELVET,Psycho,2019,k-pop,contradictions living inside mind heart opposites attract repel simultaneously love hate pleasure pain joy sorrow laughter tears happiness sadness excitement boredom energy lethargy passion apathy interest disinterest care indifference devotion neglect attention ignorance fascination boredom attraction repulsion nearness distance intimacy alienation understanding confusion knowledge ignorance wisdom foolishness maturity childishness responsibility recklessness safety danger security risk certainty doubt truth lies reality fantasy concrete abstract tangible intangible visible invisible heard unheard spoken unspoken said unsaid felt unfelt known unknown remembered forgotten conscious unconscious rational irrational logical illogical reasonable unreasonable sensible nonsensical orthodox unorthodox conventional unconventional normal abnormal regular irregular standard nonstandard psycho you make feel alive psycho you drive crazy psycho
NCT 127,Kick It,2020,k-pop,power surging through veins strength building muscles energy flowing body mind focused goal determined succeed failure option victory necessary driven purpose motivated achievement inspired greatness compelled excellence fueled passion propelled ambition pushed limits boundaries restrictions constraints holding back anymore breaking free chains breaking walls breaking ceilings breaking expectations breaking predictions breaking projections breaking estimations breaking calculations breaking computations breaking evaluations breaking assessments breaking judgments breaking criticisms breaking doubts breaking fears breaking insecurities breaking weaknesses building strength building power building energy building capability building capacity building ability building potential building possibility building opportunity building future building legacy kick higher kick stronger kick better kick faster kick harder kick further kick longer kick deeper kick wider kick broader kick kick kick never stop kicking
IU,Celebrity,2021,k-pop,uniqueness shines brightly different special extraordinary exceptional remarkable notable distinctive peculiar singular individual original authentic genuine real true pure unadulterated undiluted unaltered untainted uncorrupted unblemished flawless perfect complete whole intact undamaged unharmed uninjured unscathed untouched pristine immaculate spotless stainless clean clear pure transparent lucid crystal limpid pellucid diaphanous translucent luminous radiant glowing shining gleaming glistening sparkling twinkling scintillating dazzling blinding brilliant spectacular stunning beautiful gorgeous exquisite elegant sophisticated refined polished cultured civilized educated intelligent brilliant smart clever quick wise sagacious astute perceptive insightful discerning judicious sensible rational reasonable logical coherent cogent lucid articulate eloquent fluent expressive communicative celebrity status earned deserved warranted justified merited entitled worthy deserving meritorious commendable praiseworthy laudable admirable
SHINee,Don't Call Me,2021,k-pop,broken promises empty words meaningless phrases hollow statements vacant expressions blank stares cold shoulders distant attitudes removed behaviors detached mannerisms aloof demeanors indifferent reactions apathetic responses uncaring replies unsympathetic retorts callous comebacks heartless rebuttals cruel rejections harsh denials severe negations strict refusals firm declinations strong repudiations definite renouncements absolute disavowals complete disownments total rejections comprehensive denials thorough refutations exhaustive negations inclusive renunciations expansive disavowals extensive disownments broadcast announcements public declarations general pronouncements universal proclamations global statements worldwide assertions international claims multinational allegations intercontinental accusations transcontinental charges cross-border indictments trans-regional censures multi-jurisdictional rebukes poly-territorial reproaches don't call name don't speak identity don't mention existence don't reference presence don't acknowledge being
ITZY,Wannabe,2020,k-pop,authentic true genuine real honest sincere candid frank open transparent clear direct forthright straightforward upfront upright honorable righteous virtuous moral ethical principled uncompromising unyielding unbending inflexible rigid steadfast resolute determined committed dedicated devoted loyal faithful true constant unwavering unswerving undeviating unfailing reliable dependable trustworthy credible believable plausible convincing persuasive compelling attractive appealing alluring enticing tempting tantalizing seductive desirable coveted sought-after wanted needed required desired wished hoped longed dreamed fantasized imagined conceived visualized pictured envisaged envisioned foreseen anticipated expected predicted projected calculated estimated computed reckoned gauged measured assessed evaluated appraised judged rated ranked graded classified categorized labeled tagged marked designated termed titled dubbed named called addressed referred known identified recognized distinguished discerned perceived noticed spotted detected observed seen witnessed beheld viewed watched wannabe wanna true self
